oog,name,additional_storage,bundles,ptype,cfs_activity,category_id/id,active_reefer,hazardous_class,status_id/id,size_id/id,sub_category_id/id,id
0,LOCAL EXPORT - STUFFING OUTSIDE PORT YARD DANGEROUS PROUCTS 40' FULL,0,0,generic,0,lct_product_category_export,0,1,lct_product_status_full,lct_product_size_40,lct_product_sub_category_localimport,local_exportstuffing_opy_dangerous_proucts_40_f_j17
1,LOCAL EXPORT - STUFFING OUTSIDE PORT YARD OOG 20' FULL,0,0,generic,0,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_localimport,local_exportstuffing_opy_oog_20_f_j17
1,LOCAL EXPORT - STUFFING OUTSIDE PORT YARD OOG 40' FULL,0,0,generic,0,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_localimport,local_exportstuffing_opy_oog_40_f_j17
0,EXPORT HINTERLAND CARGO - STUFFING INSIDE PORT YARD 20' FULL,0,0,generic,1,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,ehinterland_csipy_20_f_j17
0,EXPORT HINTERLAND CARGO - STUFFING INSIDE PORT YARD 40' FULL,0,0,generic,1,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,ehinterland_csipy_40_f_j17
0,EXPORT HINTERLAND CARGO - STUFFING INSIDE PORT YARD REEFER 20' FULL,0,0,generic,1,lct_product_category_export,1,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,ehinterland_csipy_reefer_20_f_j17
0,EXPORT HINTERLAND CARGO - STUFFING INSIDE PORT YARD REEFER 40' FULL,0,0,generic,1,lct_product_category_export,1,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,ehinterland_csipy_reefer_40_f_j17
0,EXPORT HINTERLAND CARGO - STUFFING INSIDE PORT YARD DANGEROUS PROUCTS 20' FULL,0,0,generic,1,lct_product_category_export,0,1,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,ehinterland_csipy_dangerous_proucts_20_f_j17
0,EXPORT HINTERLAND CARGO - STUFFING INSIDE PORT YARD DANGEROUS PROUCTS 40' FULL,0,0,generic,1,lct_product_category_export,0,1,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,ehinterland_csipy_dangerous_proucts_40_f_j17
1,EXPORT HINTERLAND CARGO - STUFFING INSIDE PORT YARD OOG 20' FULL,0,0,generic,1,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,ehinterland_csipy_oog_20_f_j17
1,EXPORT HINTERLAND CARGO - STUFFING INSIDE PORT YARD OOG 40' FULL,0,0,generic,1,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,ehinterland_csipy_oog_40_f_j17
0,EXPORT HINTERLAND CARGO-STUFFING OUTSIDE PORT YARD 20' FULL,0,0,generic,0,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,ehinterland_csopy_20_f_j17
0,EXPORT HINTERLAND CARGO-STUFFING OUTSIDE PORT YARD 40' FULL,0,0,generic,0,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,ehinterland_csopy_40_f_j17
0,EXPORT HINTERLAND CARGO-STUFFING OUTSIDE PORT YARD REEFER 20' FULL,0,0,generic,0,lct_product_category_export,1,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,ehinterland_csopy_reefer_20_f_j17
0,EXPORT HINTERLAND CARGO-STUFFING OUTSIDE PORT YARD REEFER 40' FULL,0,0,generic,0,lct_product_category_export,1,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,ehinterland_csopy_reefer_40_f_j17
0,EXPORT HINTERLAND CARGO-STUFFING OUTSIDE PORT YARD DANGEROUS PROUCTS 20' FULL,0,0,generic,0,lct_product_category_export,0,1,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,ehinterland_csopy_dangerous_proucts_20_f_j17
0,EXPORT HINTERLAND CARGO-STUFFING OUTSIDE PORT YARD DANGEROUS PROUCTS 40' FULL,0,0,generic,0,lct_product_category_export,0,1,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,ehinterland_csopy_dangerous_proucts_40_f_j17
1,EXPORT HINTERLAND CARGO-STUFFING OUTSIDE PORT YARD OOG 20' FULL,0,0,generic,0,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitsahel,ehinterland_csopy_oog_20_f_j17
1,EXPORT HINTERLAND CARGO-STUFFING OUTSIDE PORT YARD OOG 40' FULL,0,0,generic,0,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitsahel,ehinterland_csopy_oog_40_f_j17
0,EXPORT NEIGHBORING COUNTRIES CARGO - STUFFING INSIDE PORT YARD 20' FULL,0,0,generic,1,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,enccsipy_20_f_j17
0,EXPORT NEIGHBORING COUNTRIES CARGO - STUFFING INSIDE PORT YARD 40' FULL,0,0,generic,1,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,enccsipy_40_f_j17
0,EXPORT NEIGHBORING COUNTRIES CARGO - STUFFING INSIDE PORT YARD REEFER 20' FULL,0,0,generic,1,lct_product_category_export,1,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,enccsipy_reefer_20_f_j17
0,EXPORT NEIGHBORING COUNTRIES CARGO - STUFFING INSIDE PORT YARD REEFER 40' FULL,0,0,generic,1,lct_product_category_export,1,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,enccsipy_reefer_40_f_j17
0,EXPORT NEIGHBORING COUNTRIES CARGO - STUFFING INSIDE PORT YARD DANGEROUS PROUCTS 20' FULL,0,0,generic,1,lct_product_category_export,0,1,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,enccsipy_dangerous_proucts_20_f_j17
0,EXPORT NEIGHBORING COUNTRIES CARGO - STUFFING INSIDE PORT YARD DANGEROUS PROUCTS 40' FULL,0,0,generic,1,lct_product_category_export,0,1,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,enccsipy_dangerous_proucts_40_f_j17
1,EXPORT NEIGHBORING COUNTRIES CARGO - STUFFING INSIDE PORT YARD OOG 20' FULL,0,0,generic,1,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,enccsipy_oog_20_f_j17
1,EXPORT NEIGHBORING COUNTRIES CARGO - STUFFING INSIDE PORT YARD OOG 40' FULL,0,0,generic,1,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,enccsipy_oog_40_f_j17
0,EXPORT NEIGHBORING COUNTRIES CARGO-STUFFING OUTSIDE PORT YARD 20' FULL,0,0,generic,0,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_20,lct_product_sub_category_transitcoastal,enccsopy_20_f_j17
0,EXPORT NEIGHBORING COUNTRIES CARGO-STUFFING OUTSIDE PORT YARD 40' FULL,0,0,generic,0,lct_product_category_export,0,0,lct_product_status_full,lct_product_size_40,lct_product_sub_category_transitcoastal,enccsopy_40_f_j17
